frame_idx,x,y,vx,vy,confidence,status
0,961.5,1017.0,0.0,0.0,1.0,detected
1,963.5,1017.0,2.0,0.0,1.0,detected
2,963.0,1017.5,-0.5,0.5,1.0,detected
3,962.5,1017.5,-0.5,0.0,1.0,detected
4,963.0,1016.5,0.5,-1.0,1.0,detected
5,965.0,1015.5,2.0,-1.0,1.0,detected
6,968.5,1015.0,3.5,-0.5,1.0,detected
7,972.0,1014.5,3.5,-0.5,1.0,detected
8,976.0,1013.5,4.0,-1.0,1.0,detected
9,978.0,1013.5,2.0,0.0,1.0,detected
10,980.0,1012.5,2.0,-1.0,1.0,detected
11,979.5,1011.5,-0.5,-1.0,1.0,detected
12,980.0,1010.0,0.5,-1.5,1.0,detected
13,979.5,1008.5,-0.5,-1.5,1.0,detected
14,979.5,1007.0,0.0,-1.5,1.0,detected
15,979.5,1006.0,0.0,-1.0,1.0,detected
16,979.0,1004.0,-0.5,-2.0,1.0,detected
17,978.0,1003.0,-1.0,-1.0,1.0,detected
18,976.5,1002.5,-1.5,-0.5,1.0,detected
19,976.5,1001.5,0.0,-1.0,1.0,detected
20,976.5,1000.0,0.0,-1.5,1.0,detected
21,976.0,998.5,-0.5,-1.5,1.0,detected
22,976.0,995.5,0.0,-3.0,1.0,detected
23,975.5,993.0,-0.5,-2.5,1.0,detected
24,975.5,988.0,0.0,-5.0,1.0,detected
25,975.5,985.0,0.0,-3.0,1.0,detected
26,975.5,982.0,0.0,-3.0,1.0,detected
27,977.5,979.0,2.0,-3.0,1.0,detected
28,979.5,978.0,2.0,-1.0,1.0,detected
29,981.5,977.0,2.0,-1.0,1.0,detected
30,982.5,977.0,1.0,0.0,1.0,detected
31,982.5,977.0,0.0,0.0,1.0,detected
32,981.5,977.0,-1.0,0.0,1.0,detected
33,980.5,976.0,-1.0,-1.0,1.0,detected
34,980.0,976.0,-0.5,0.0,1.0,detected
35,979.5,974.0,-0.5,-2.0,1.0,detected
36,979.5,972.0,0.0,-2.0,1.0,detected
37,979.5,971.0,0.0,-1.0,1.0,detected
38,979.5,970.0,0.0,-1.0,1.0,detected
39,979.5,970.0,0.0,0.0,1.0,detected
40,979.5,970.5,0.0,0.5,1.0,detected
41,979.5,971.5,0.0,1.0,1.0,detected
42,979.5,972.0,0.0,0.5,1.0,detected
43,979.5,973.0,0.0,1.0,1.0,detected
44,980.5,974.0,1.0,1.0,1.0,detected
45,981.0,974.0,0.5,0.0,1.0,detected
46,981.5,974.0,0.5,0.0,1.0,detected
47,982.0,973.5,0.5,-0.5,1.0,detected
48,981.5,973.0,-0.5,-0.5,1.0,detected
49,981.5,971.5,0.0,-1.5,1.0,detected
50,982.0,971.0,0.5,-0.5,1.0,detected
51,982.5,970.5,0.5,-0.5,1.0,detected
52,983.5,970.0,1.0,-0.5,1.0,detected
53,983.5,970.0,0.0,0.0,1.0,detected
54,984.5,969.0,1.0,-1.0,1.0,detected
55,984.5,969.0,0.0,0.0,1.0,detected
56,984.5,968.0,0.0,-1.0,1.0,detected
57,984.5,967.0,0.0,-1.0,1.0,detected
58,985.5,966.0,1.0,-1.0,1.0,detected
59,986.5,965.0,1.0,-1.0,1.0,detected
60,987.5,964.0,1.0,-1.0,1.0,detected
61,987.5,963.0,0.0,-1.0,1.0,detected
62,988.5,962.0,1.0,-1.0,1.0,detected
63,989.0,962.0,0.5,0.0,1.0,detected
64,989.5,961.0,0.5,-1.0,1.0,detected
65,989.5,961.0,0.0,0.0,1.0,detected
66,989.5,960.0,0.0,-1.0,1.0,detected
