event,behind_frame,behind_x_px,behind_y_px,left_frame,left_x_px,left_y_px,x_m,y_m,z_m
Precontact,17,1069.34,908.59,15,1261.5,354.78,0.108,-0.06,0.06
Contact,24,1071.1,906.77,285,1261.5,354.78,0.134,-0.06,0.06
First motion,25,1074.99,900.66,286,1273.46,354.66,0.191,-0.253,0.062
Separation,26,1081.24,888.14,287,1257.8,352.54,0.283,0.0,0.102
Early rise,58,1335.77,236.82,321,839.56,252.15,4.024,6.767,1.972
Mid rise,90,1375.25,91.56,355,610.05,209.26,4.604,10.481,2.77
Late rise,122,1374.95,42.75,389,459.68,193.37,4.6,12.914,3.066
Apex,154,1363.22,35.39,423,348.01,191.41,4.428,14.72,3.103
Early fall,184,1345.3,47.48,467,237.57,202.0,4.164,16.507,2.906
Mid fall,213,1330.07,70.07,512,148.65,225.18,3.94,17.946,2.474
Late fall,243,1307.32,102.38,556,76.18,256.69,3.606,19.119,1.887
Hits net,272,1287.01,139.0,600,15.52,293.96,3.307,20.1,1.193
