frame_idx,status,raw_x,raw_y,smooth_x,smooth_y,vx,vy,confidence,box_w,box_h
10,ROI,970.67,795.19,971.17,795.97,-0.05,-0.08,0.96,89.45,93.44
11,ROI,970.35,794.68,970.89,795.53,-0.14,-0.23,0.97,89.15,93.11
12,ROI,970.65,795.07,970.7,795.21,-0.16,-0.26,0.97,89.36,93.33
13,ROI,970.61,795.13,970.57,795.02,-0.15,-0.24,0.97,89.05,92.96
14,ROI,970.95,795.28,970.63,794.98,-0.1,-0.2,0.96,88.94,92.83
15,ROI,970.66,795.05,970.58,794.89,-0.09,-0.18,0.97,89.27,93.17
16,ROI,970.38,794.68,970.45,794.7,-0.1,-0.18,0.97,89.39,93.27
17,ROI,970.2,794.68,970.3,794.57,-0.11,-0.17,0.97,89.58,93.42
18,ROI,970.2,794.79,970.19,794.53,-0.11,-0.15,0.97,89.91,93.78
19,ROI,970.06,794.47,970.07,794.41,-0.11,-0.15,0.97,89.82,93.68
20,ROI,969.54,794.56,969.84,794.35,-0.13,-0.13,0.96,89.82,93.72
21,ROI,969.78,794.57,969.73,794.32,-0.13,-0.12,0.96,90.11,94.07
22,ROI,969.97,794.41,969.71,794.26,-0.11,-0.11,0.96,89.38,93.21
23,ROI,969.97,794.37,969.7,794.22,-0.09,-0.1,0.96,89.22,93.03
24,ROI,969.91,794.49,969.7,794.23,-0.08,-0.08,0.95,89.42,93.16
25,ROI,969.83,794.37,969.68,794.21,-0.07,-0.07,0.96,89.79,93.56
26,ROI,970.19,794.39,969.77,794.21,-0.04,-0.06,0.96,89.65,93.38
27,ROI,970.23,794.52,969.87,794.26,-0.02,-0.04,0.96,89.7,93.42
28,ROI,970.32,794.43,969.99,794.28,0.0,-0.03,0.96,89.27,92.93
29,ROI,970.68,794.25,970.19,794.25,0.03,-0.03,0.96,88.99,92.57
30,ROI,970.22,794.52,970.22,794.3,0.03,-0.02,0.97,89.28,92.83
31,ROI,970.25,794.58,970.25,794.37,0.03,-0.0,0.97,89.75,93.32
32,ROI,970.06,794.73,970.22,794.47,0.02,0.01,0.96,89.7,93.2
33,ROI,970.1,794.97,970.2,794.63,0.02,0.04,0.96,89.78,93.28
34,ROI,970.05,795.08,970.17,794.78,0.01,0.06,0.96,89.99,93.51
35,ROI,970.11,795.38,970.16,794.99,0.01,0.08,0.96,90.03,93.56
36,ROI,970.04,795.01,970.13,795.05,-0.0,0.08,0.96,90.06,93.58
37,ROI,969.94,794.97,970.07,795.09,-0.01,0.07,0.95,90.08,93.6
38,ROI,970.06,794.94,970.06,795.09,-0.01,0.06,0.96,90.13,93.68
39,ROI,970.15,794.89,970.08,795.08,-0.01,0.05,0.96,89.95,93.49
40,ROI,970.09,794.91,970.08,795.06,-0.0,0.04,0.95,89.91,93.4
41,ROI,970.04,794.87,970.07,795.04,-0.01,0.03,0.96,89.76,93.2
42,ROI,970.09,794.86,970.07,795.0,-0.0,0.02,0.95,89.75,93.14
43,ROI,970.02,794.84,970.05,794.97,-0.01,0.01,0.96,89.77,93.11
44,ROI,970.03,794.76,970.04,794.92,-0.01,-0.0,0.95,89.67,92.96
45,ROI,970.06,794.89,970.04,794.91,-0.01,-0.0,0.96,89.53,92.79
46,ROI,969.99,795.03,970.02,794.94,-0.01,0.0,0.96,89.66,92.94
47,ROI,970.0,794.97,970.01,794.95,-0.01,0.0,0.95,89.56,92.83
48,ROI,970.07,794.98,970.02,794.96,-0.01,0.01,0.95,89.7,93.01
49,ROI,969.92,795.05,969.99,794.99,-0.01,0.01,0.96,89.73,93.05
50,ROI,969.92,794.91,969.96,794.98,-0.01,0.01,0.96,89.79,93.1
51,ROI,969.86,795.03,969.92,795.0,-0.02,0.01,0.95,89.84,93.14
52,ROI,969.9,794.91,969.9,794.98,-0.02,0.0,0.96,89.58,92.86
53,ROI,969.86,795.0,969.88,794.99,-0.02,0.0,0.95,89.77,93.07
54,ROI,969.84,794.76,969.85,794.93,-0.02,-0.01,0.95,89.73,93.02
55,ROI,969.78,794.93,969.82,794.92,-0.02,-0.01,0.95,89.85,93.15
56,ROI,969.74,795.07,969.78,794.96,-0.02,0.0,0.92,89.89,93.16
57,ROI,969.39,795.11,969.65,795.01,-0.04,0.01,0.95,89.98,93.31
58,ROI,969.62,794.94,969.62,794.99,-0.04,0.0,0.94,89.92,93.28
59,ROI,969.96,794.85,969.68,794.95,-0.02,-0.0,0.95,89.57,92.9
60,ROI,969.99,794.96,969.76,794.95,-0.01,-0.0,0.95,89.59,92.94
61,ROI,970.01,794.84,969.82,794.92,0.0,-0.01,0.95,89.4,92.68
62,ROI,969.92,794.89,969.85,794.91,0.01,-0.01,0.95,89.48,92.75
63,ROI,969.91,794.73,969.87,794.85,0.01,-0.02,0.94,89.32,92.51
64,ROI,970.02,794.98,969.92,794.88,0.02,-0.01,0.96,89.73,92.94
65,ROI,969.86,795.05,969.92,794.92,0.01,-0.0,0.95,89.81,93.06
66,ROI,969.98,795.27,969.95,795.02,0.02,0.02,0.96,90.13,93.44
67,ROI,969.93,795.0,969.95,795.03,0.01,0.01,0.95,89.62,92.86
68,ROI,969.99,795.18,969.97,795.08,0.02,0.02,0.96,89.78,93.08
69,ROI,969.99,795.17,969.99,795.12,0.02,0.02,0.96,89.59,92.89
70,ROI,970.0,795.39,970.0,795.21,0.01,0.04,0.96,89.84,93.21
71,ROI,970.08,795.52,970.04,795.33,0.02,0.05,0.97,89.95,93.43
72,ROI,970.06,795.49,970.05,795.41,0.02,0.05,0.97,89.98,93.57
73,ROI,963.43,783.65,968.18,792.09,-0.29,-0.49,0.89,75.5,76.81
74,HOLD,968.95,793.48,,,-0.29,-0.49,,,
75,HOLD,968.89,793.38,,,-0.29,-0.49,,,
76,HOLD,968.83,793.28,,,-0.29,-0.49,,,
77,HOLD,968.77,793.18,,,-0.29,-0.49,,,
78,HOLD,968.71,793.08,,,-0.29,-0.49,,,
79,SEARCHING_RELOCK,781.96,295.79,781.96,295.79,0.0,0.0,0.74,44.6,44.95
80,ROI,830.58,332.59,790.16,302.0,4.04,3.06,0.09,12.49,9.6
81,ROI,831.86,331.97,805.58,313.19,8.71,6.4,0.24,10.75,9.17
82,ROI,831.13,332.24,820.79,324.47,10.78,7.95,0.36,11.18,9.63
83,ROI,831.51,332.23,831.55,332.35,10.77,7.93,0.23,10.47,9.46
84,ROI,831.04,332.15,837.84,337.05,9.8,7.23,0.09,11.45,9.52
85,HOLD,830.79,348.67,,,9.8,7.23,,,
86,HOLD,823.47,325.08,,,9.8,7.23,,,
87,HOLD,815.97,300.95,,,9.8,7.23,,,
88,HOLD,808.31,276.28,,,9.8,7.23,,,
89,HOLD,800.47,251.06,,,9.8,7.23,,,
90,SEARCHING_RELOCK,763.13,157.52,763.13,157.52,0.0,0.0,0.74,25.01,24.96
91,ROI,764.73,157.97,763.4,157.59,0.13,0.04,0.72,23.29,23.53
92,ROI,769.03,157.63,765.19,157.63,0.82,0.04,0.83,21.36,22.64
93,ROI,770.97,158.29,767.92,157.91,1.42,0.11,0.66,22.1,22.6
